,url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
0,https://www.espncricinfo.com/series/8048/scorecard/336040/chennai-super-kings-vs-rajasthan-royals-final-indian-premier-league-2007-08,336040,Chennai Super Kings,Rajasthan Royals,,3.0,Rajasthan Royals,,,,Rajasthan Royals,Field,Indian Premier League 2008,Yusuf Pathan,Final,Mumbai,Jun 1 2008,N
1,https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08,335982,Kolkata Knight Riders,Royal Challengers Bangalore,140.0,,Kolkata Knight Riders,,,,Royal Challengers Bangalore,Field,Indian Premier League 2008,Brendon McCullum,1,Bengaluru,Apr 18 2008,N
2,https://www.espncricinfo.com/series/8048/scorecard/335983/kings-xi-punjab-vs-chennai-super-kings-2nd-match-indian-premier-league-2007-08,335983,Chennai Super Kings,Kings XI Punjab,33.0,,Chennai Super Kings,,,,Chennai Super Kings,Bat,Indian Premier League 2008,Michael Hussey,2,Mohali,Apr 19 2008,D/N
3,https://www.espncricinfo.com/series/8048/scorecard/335984/delhi-daredevils-vs-rajasthan-royals-3rd-match-indian-premier-league-2007-08,335984,Rajasthan Royals,Delhi Daredevils,,9.0,Delhi Daredevils,,,,Rajasthan Royals,Bat,Indian Premier League 2008,Farveez Maharoof,3,Delhi,Apr 19 2008,N
4,https://www.espncricinfo.com/series/8048/scorecard/335986/kolkata-knight-riders-vs-deccan-chargers-4th-match-indian-premier-league-2007-08,335986,Deccan Chargers,Kolkata Knight Riders,,5.0,Kolkata Knight Riders,,,,Deccan Chargers,Bat,Indian Premier League 2008,David Hussey,4,Kolkata,Apr 20 2008,D/N
5,https://www.espncricinfo.com/series/8048/scorecard/335985/mumbai-indians-vs-royal-challengers-bangalore-5th-match-indian-premier-league-2007-08,335985,Mumbai Indians,Royal Challengers Bangalore,,5.0,Royal Challengers Bangalore,,,,Mumbai Indians,Bat,Indian Premier League 2008,Mark Boucher,5,Mumbai,Apr 20 2008,N
6,https://www.espncricinfo.com/series/8048/scorecard/335987/rajasthan-royals-vs-kings-xi-punjab-6th-match-indian-premier-league-2007-08,335987,Kings XI Punjab,Rajasthan Royals,,6.0,Rajasthan Royals,,,,Kings XI Punjab,Bat,Indian Premier League 2008,Shane Watson,6,Jaipur,Apr 21 2008,N
7,https://www.espncricinfo.com/series/8048/scorecard/335988/deccan-chargers-vs-delhi-daredevils-7th-match-indian-premier-league-2007-08,335988,Deccan Chargers,Delhi Daredevils,,9.0,Delhi Daredevils,,,,Deccan Chargers,Bat,Indian Premier League 2008,Virender Sehwag,7,Hyderabad (Deccan),Apr 22 2008,N
8,https://www.espncricinfo.com/series/8048/scorecard/335989/chennai-super-kings-vs-mumbai-indians-8th-match-indian-premier-league-2007-08,335989,Chennai Super Kings,Mumbai Indians,6.0,,Chennai Super Kings,,,,Mumbai Indians,Field,Indian Premier League 2008,Matthew Hayden,8,Chennai,Apr 23 2008,N
9,https://www.espncricinfo.com/series/8048/scorecard/335990/deccan-chargers-vs-rajasthan-royals-9th-match-indian-premier-league-2007-08,335990,Deccan Chargers,Rajasthan Royals,,3.0,Rajasthan Royals,,,,Rajasthan Royals,Field,Indian Premier League 2008,Yusuf Pathan,9,Hyderabad (Deccan),Apr 24 2008,N
10,https://www.espncricinfo.com/series/8048/scorecard/335991/kings-xi-punjab-vs-mumbai-indians-10th-match-indian-premier-league-2007-08,335991,Kings XI Punjab,Mumbai Indians,66.0,,Kings XI Punjab,,,,Mumbai Indians,Field,Indian Premier League 2008,Kumar Sangakkara,10,Mohali,Apr 25 2008,N
11,https://www.espncricinfo.com/series/8048/scorecard/335993/chennai-super-kings-vs-kolkata-knight-riders-11th-match-indian-premier-league-2007-08,335993,Kolkata Knight Riders,Chennai Super Kings,,9.0,Chennai Super Kings,,,,Kolkata Knight Riders,Bat,Indian Premier League 2008,Jacob Oram,11,Chennai,Apr 26 2008,D/N
12,https://www.espncricinfo.com/series/8048/scorecard/335992/royal-challengers-bangalore-vs-rajasthan-royals-12th-match-indian-premier-league-2007-08,335992,Royal Challengers Bangalore,Rajasthan Royals,,7.0,Rajasthan Royals,,,,Rajasthan Royals,Field,Indian Premier League 2008,Shane Watson,12,Bengaluru,Apr 26 2008,N
